First Name,Last Name,Position,Team,Cr
Shaedon,Sharpe,Guard,Portland Trail Blazers,"9,6"
P.J.,Washington,Forward,Dallas Mavericks,"9,5"
Jaden,Mcdaniels,Forward,Minnesota Timberwolves,"9,5"
Jabari,Smith Jr,Forward,Houston Rockets,"9,4"
Jaren,Jackson Jr,Forward,Memphis Grizzlies,"9,4"
Jalen,Green,Guard,Phoenix Suns,"9,4"
Chris,Finch,Head Coach,Minnesota Timberwolves,"9,4"
Jamahl,Mosley,Head Coach,Orlando Magic,"9,4"
Joe,Mazzulla,Head Coach,Boston Celtics,"9,3"
Toumani,Camara,Forward,Portland Trail Blazers,"9,3"
Davion,Mitchell,Guard,Miami Heat,"9,2"
Jalen,Suggs,Guard,Orlando Magic,"9,2"
Jerami,Grant,Forward,Portland Trail Blazers,"9,1"
Keegan,Murray,Forward,Sacramento Kings,9
Nickeil,Alexander-Walker,Guard,Atlanta Hawks,9
Santi,Aldama,Forward,Memphis Grizzlies,9
Matas,Buzelis,Forward,Chicago Bulls,"8,9"
Jusuf,Nurkic,Center,Utah Jazz,"8,8"
Bennedict,Mathurin,Guard,Indiana Pacers,"8,8"
Royce,O'Neale,Forward,Phoenix Suns,"8,8"
Brandin,Podziemski,Guard,Golden State Warriors,"8,8"
Ausar,Thompson,Guard,Detroit Pistons,"8,7"
Collin,Gillespie,Guard,Phoenix Suns,"8,7"
Keldon,Johnson,Forward,San Antonio Spurs,"8,6"
Tre,Jones,Guard,Chicago Bulls,"8,6"
Derik,Queen,Center,New Orleans Pelicans,"8,6"
Collin,Sexton,Guard,Charlotte Hornets,"8,5"
Jaime,Jaquez Jr,Forward,Miami Heat,"8,5"
Kyshawn,George,Guard,Washington Wizards,"8,5"
Steve,Kerr,Head Coach,Golden State Warriors,"8,4"
Daniel,Gafford,Center,Dallas Mavericks,"8,4"
Brandon,Miller,Forward,Charlotte Hornets,"8,4"
Ryan,Kalkbrenner,Center,Charlotte Hornets,"8,4"
Andre,Drummond,Center,Philadelphia 76ers,"8,3"
De'Andre,Hunter,Forward,Cleveland Cavaliers,"8,3"
Ayo,Dosunmu,Guard,Chicago Bulls,"8,3"
Mitch,Johnson,Head Coach,San Antonio Spurs,"8,3"
Christian,Braun,Guard,Denver Nuggets,"8,3"
Naji,Marshall,Forward,Dallas Mavericks,"8,3"
Khris,Middleton,Forward,Washington Wizards,"8,2"
Bobby,Portis,Forward,Milwaukee Bucks,"8,2"
Cameron,Johnson,Forward,Denver Nuggets,"8,2"
Kelly,Oubre Jr,Forward,Philadelphia 76ers,"8,2"
Draymond,Green,Forward,Golden State Warriors,"8,1"
Tobias,Harris,Forward,Detroit Pistons,"8,1"
Kevin,Porter Jr,Guard,Milwaukee Bucks,"8,1"
Anfernee,Simons,Guard,Boston Celtics,"8,1"
