First Name,Last Name,Position,Team,Cr
Orlando,Robinson,Center,Orlando Magic,4
Mac,McClung,Guard,Indiana Pacers,4
Cody,Zeller,Center,Houston Rockets,4
Johnny,Juzang,Guard,Minnesota Timberwolves,4
Nate,Williams,Guard,Houston Rockets,4
Quenton,Jackson,Guard,Indiana Pacers,4
Emoni,Bates,Forward,Philadelphia 76ers,4
Dante,Exum,Guard,Dallas Mavericks,4
Julian,Strawther,Guard,Denver Nuggets,4
Hunter,Tyson,Forward,Denver Nuggets,4
Olivier,Maxence-Prosper,Forward,Memphis Grizzlies,4
Jalen,Pickett,Guard,Denver Nuggets,4
Marcus,Sasser,Guard,Detroit Pistons,4
Jordan,Hawkins,Guard,New Orleans Pelicans,4
Jalen,Wilson,Forward,Brooklyn Nets,4
A.j.,Lawson,Guard,Toronto Raptors,4
Leonard,Miller,Forward,Minnesota Timberwolves,4
Jett,Howard,Guard,Orlando Magic,4
Rayan,Rupert,Guard,Portland Trail Blazers,4
Colby,Jones,Guard,Detroit Pistons,4
E.J.,Liddell,Forward,Brooklyn Nets,4
Jacob,Toppin,Forward,Atlanta Hawks,4
Dariq,Whitehead,Forward,Oklahoma City Thunder,4
Oscar,Tshiebwe,Center,Utah Jazz,4
Jordan,Miller,Guard,Los Angeles Clippers,4
Colin,Castleton,Center,Orlando Magic,4
Gregory,Jackson,Forward,Memphis Grizzlies,4
Andre,Jackson Jr,Guard,Milwaukee Bucks,4
Chris,Livingston,Forward,Cleveland Cavaliers,4
Duop,Reath,Center,Portland Trail Blazers,4
Adam,Flagler,Guard,San Antonio Spurs,4
Mason,Jones,Guard,Sacramento Kings,4
Pete,Nance,Forward,Milwaukee Bucks,4
Dillon,Jones,Forward,Washington Wizards,4
Kj,Simpson,Guard,Charlotte Hornets,4
Bobi,Klintman,Forward,Detroit Pistons,4
Dalton,Knecht,Guard,Los Angeles Lakers,4
Terrence,Shannon,Guard,Minnesota Timberwolves,4
Devin,Carter,Guard,Sacramento Kings,4
Enrique,Freeman,Forward,Minnesota Timberwolves,4
Anton,Watson,Forward,Los Angeles Lakers,4
Baylor,Scheierman,Guard,Boston Celtics,4
Tyler,Smith,Forward,Houston Rockets,4
Rob,Dillingham,Guard,Minnesota Timberwolves,4
Kevin,Mccullar Jr,Guard,New York Knicks,4
Antonio,Reeves,Guard,Charlotte Hornets,4
Johnny,Furphy,Guard,Indiana Pacers,4
Tristen,Newton,Guard,Minnesota Timberwolves,4
Aj,Johnson,Guard,Washington Wizards,4
Nikola,Topic,Guard,Oklahoma City Thunder,4
Nikola,Djurisic,Guard,Atlanta Hawks,4
Cam,Christie,Guard,Los Angeles Clippers,4
Bronny,James,Guard,Los Angeles Lakers,4
Ariel,Hukporti,Center,New York Knicks,4
Harrison,Ingram,Forward,San Antonio Spurs,4
Cody,Williams,Forward,Utah Jazz,4
Pacome,Dadiet,Forward,New York Knicks,4
Jonathan,Mogbo,Forward,Toronto Raptors,4
Ulrich,Chomche,Center,Toronto Raptors,4
Drew,Peterson,Forward,Charlotte Hornets,4
Luke,Travers,Forward,Cleveland Cavaliers,4
Pj,Hall,Center,Memphis Grizzlies,4
Jackson,Rowe,Forward,Golden State Warriors,4
Reece,Beekman,Guard,Brooklyn Nets,4
Yuki,Kawamura,Guard,Chicago Bulls,4
Jamison,Battle,Forward,Toronto Raptors,4
Alex,Ducas,Forward,Oklahoma City Thunder,4
Isaac,Jones,Forward,Detroit Pistons,4
Jack,McVeigh,Forward,Houston Rockets,4
Carter,Bryant,Forward,San Antonio Spurs,4
Amari,Williams,Forward,Boston Celtics,4
Adou,Thiero,Forward,Los Angeles Lakers,4
Tyrese,Proctor,Guard,Cleveland Cavaliers,4
Yanic Konan,Niederhauser,Center,Los Angeles Clippers,4
Rasheer,Fleming,Forward,Phoenix Suns,4
Joan,Beringer,Forward,Minnesota Timberwolves,4
Nolan,Traore,Guard,Brooklyn Nets,4
Tyson,Etienne,Guard,Brooklyn Nets,4
Alex,Toohey,Forward,Golden State Warriors,4
Ben,Saraf,Guard,Brooklyn Nets,4
Mohamed,Diawara,Forward,New York Knicks,4
Emanuel,Miller,Forward,Chicago Bulls,4
Hugo,Gonzalez,Guard,Boston Celtics,4
Javon,Small,Guard,Memphis Grizzlies,4
Rayj,Dennis,Guard,Indiana Pacers,4
Chris,Youngblood,Guard,Oklahoma City Thunder,4
Taelon,Peter,Guard,Indiana Pacers,4
Moussa,Cisse,Center,Dallas Mavericks,4
Elijah,Harkless,Guard,Utah Jazz,4
Mark,Sears,Guard,Milwaukee Bucks,4
