name,first_name,last_name,role,position_full,nba_team,nba_team_abbr,credits
Kevin Porter Jr,Kevin,Porter Jr,G,Guardia,Milwaukee Bucks,MIL,8.1
Anfernee Simons,Anfernee,Simons,G,Guardia,Boston Celtics,BOS,8.1
Dillon Brooks,Dillon,Brooks,A,Ala,Phoenix Suns,PHX,8.1
Moussa Diabate,Moussa,Diabate,A,Ala,Charlotte Hornets,CHA,8.1
Max Christie,Max,Christie,G,Guardia,Dallas Mavericks,DAL,8.1
Kyle Filipowski,Kyle,Filipowski,C,Centro,Utah Jazz,UTA,8.1
Malik Monk,Malik,Monk,G,Guardia,Sacramento Kings,SAC,8.0
Dennis Schroder,Dennis,Schroder,G,Guardia,Sacramento Kings,SAC,8.0
Harrison Barnes,Harrison,Barnes,A,Ala,San Antonio Spurs,SAS,7.9
Peyton Watson,Peyton,Watson,G,Guardia,Denver Nuggets,DEN,7.9
Saddiq Bey,Saddiq,Bey,A,Ala,New Orleans Pelicans,NOP,7.8
Jordan Poole,Jordan,Poole,G,Guardia,New Orleans Pelicans,NOP,7.8
Cam Thomas,Cam,Thomas,G,Guardia,Brooklyn Nets,BKN,7.8
Luke Kornet,Luke,Kornet,C,Centro,San Antonio Spurs,SAS,7.8
Jeremiah Fears,Jeremiah,Fears,G,Guardia,New Orleans Pelicans,NOP,7.8
Steven Adams,Steven,Adams,C,Centro,Houston Rockets,HOU,7.6
Duncan Robinson,Duncan,Robinson,A,Ala,Detroit Pistons,DET,7.6
T.J. Mcconnell,T.J.,Mcconnell,G,Guardia,Indiana Pacers,IND,7.6
Jay Huff,Jay,Huff,C,Centro,Indiana Pacers,IND,7.6
Yves Missi,Yves,Missi,C,Centro,New Orleans Pelicans,NOP,7.6
Isaiah Stewart,Isaiah,Stewart,A,Ala,Detroit Pistons,DET,7.5
Jonathan Kuminga,Jonathan,Kuminga,A,Ala,Golden State Warriors,GSW,7.5
Moses Moody,Moses,Moody,G,Guardia,Golden State Warriors,GSW,7.5
Zaccharie Risacher,Zaccharie,Risacher,A,Ala,Atlanta Hawks,ATL,7.5
Jaylon Tyson,Jaylon,Tyson,G,Guardia,Cleveland Cavaliers,CLE,7.5
Jaylen Wells,Jaylen,Wells,A,Ala,Memphis Grizzlies,MEM,7.5
Cedric Coward,Cedric,Coward,G,Guardia,Memphis Grizzlies,MEM,7.5
Fred Vanvleet,Fred,Vanvleet,G,Guardia,Houston Rockets,HOU,7.4
John Collins,John,Collins,A,Ala,Los Angeles Clippers,LAC,7.4
Rui Hachimura,Rui,Hachimura,A,Ala,Los Angeles Lakers,LAL,7.4
Aaron Nesmith,Aaron,Nesmith,A,Ala,Indiana Pacers,IND,7.4
Noah Clowney,Noah,Clowney,A,Ala,Brooklyn Nets,BKN,7.4
Dylan Harper,Dylan,Harper,G,Guardia,San Antonio Spurs,SAS,7.4
Egor Demin,Egor,Demin,G,Guardia,Brooklyn Nets,BKN,7.3
Kyle Kuzma,Kyle,Kuzma,A,Ala,Milwaukee Bucks,MIL,7.2
Grayson Allen,Grayson,Allen,G,Guardia,Phoenix Suns,PHX,7.2
Tari Eason,Tari,Eason,A,Ala,Houston Rockets,HOU,7.2
Miles McBride,Miles,McBride,G,Guardia,New York Knicks,NYK,7.2
Anthony Black,Anthony,Black,G,Guardia,Orlando Magic,ORL,7.2
Cam Spencer,Cam,Spencer,G,Guardia,Memphis Grizzlies,MEM,7.2
Robert Williams III,Robert,Williams III,C,Centro,Portland Trail Blazers,POR,7.1
Terance Mann,Terance,Mann,G,Guardia,Brooklyn Nets,BKN,7.1
Goga Bitadze,Goga,Bitadze,C,Centro,Orlando Magic,ORL,7.1
Cason Wallace,Cason,Wallace,G,Guardia,Oklahoma City Thunder,OKC,7.1
Spencer Dinwiddie,Spencer,Dinwiddie,G,Guardia,Charlotte Hornets,CHA,7.0
Tim Hardaway Jr,Tim,Hardaway Jr,A,Ala,Denver Nuggets,DEN,7.0
Julian Champagnie,Julian,Champagnie,A,Ala,San Antonio Spurs,SAS,7.0
Reed Sheppard,Reed,Sheppard,G,Guardia,Houston Rockets,HOU,7.0
Isaiah Collier,Isaiah,Collier,G,Guardia,Utah Jazz,UTA,6.9
Maxime Raynaud,Maxime,Raynaud,C,Centro,Sacramento Kings,SAC,6.9
D'angelo Russell,D'angelo,Russell,G,Guardia,Dallas Mavericks,DAL,6.8
Precious Achiuwa,Precious,Achiuwa,A,Ala,Sacramento Kings,SAC,6.8
Isaiah Joe,Isaiah,Joe,G,Guardia,Oklahoma City Thunder,OKC,6.8
Jaylin Williams,Jaylin,Williams,A,Ala,Oklahoma City Thunder,OKC,6.8
Bilal Coulibaly,Bilal,Coulibaly,G,Guardia,Washington Wizards,WAS,6.8
Mitchell Robinson,Mitchell,Robinson,C,Centro,New York Knicks,NYK,6.7
A.J. Green,A.J.,Green,G,Guardia,Milwaukee Bucks,MIL,6.7
Dereck Lively II,Dereck,Lively II,C,Centro,Dallas Mavericks,DAL,6.7
Kevin Huerter,Kevin,Huerter,G,Guardia,Chicago Bulls,CHI,6.6
Ajay Mitchell,Ajay,Mitchell,G,Guardia,Oklahoma City Thunder,OKC,6.6
Ryan Dunn,Ryan,Dunn,A,Ala,Phoenix Suns,PHX,6.6
Ace Bailey,Ace,Bailey,A,Ala,Utah Jazz,UTA,6.6
Sam Hauser,Sam,Hauser,A,Ala,Boston Celtics,BOS,6.5
