First Name,Last Name,Position,Team,Cr,Team_abbr
Naz,Reid,Centro,Minnesota Timberwolves,"9,7",MIN
Neemias,Queta,Centro,Boston Celtics,"9,7",BOS
Paul,George,Ala,Philadelphia 76ers,"9,6",PHI
Shaedon,Sharpe,Guardia,Portland Trail Blazers,"9,6",POR
P.J.,Washington,Ala,Dallas Mavericks,"9,5",DAL
Jaden,Mcdaniels,Ala,Minnesota Timberwolves,"9,5",MIN
Jabari,Smith Jr,Ala,Houston Rockets,"9,4",HOU
Jaren,Jackson Jr,Ala,Memphis Grizzlies,"9,4",MEM
Jalen,Green,Guardia,Phoenix Suns,"9,4",PHX
Toumani,Camara,Ala,Portland Trail Blazers,"9,3",POR
Davion,Mitchell,Guardia,Miami Heat,"9,2",MIA
Jalen,Suggs,Guardia,Orlando Magic,"9,2",ORL
Jerami,Grant,Ala,Portland Trail Blazers,"9,1",POR
Keegan,Murray,Ala,Sacramento Kings,9,SAC
Nickeil,Alexander-Walker,Guardia,Atlanta Hawks,9,ATL
Santi,Aldama,Ala,Memphis Grizzlies,9,MEM
Matas,Buzelis,Ala,Chicago Bulls,"8,9",CHI
Jusuf,Nurkic,Centro,Utah Jazz,"8,8",UTA
Bennedict,Mathurin,Guardia,Indiana Pacers,"8,8",IND
Royce,O'Neale,Ala,Phoenix Suns,"8,8",PHX
Brandin,Podziemski,Guardia,Golden State Warriors,"8,8",GSW
Ausar,Thompson,Guardia,Detroit Pistons,"8,7",DET
Collin,Gillespie,Guardia,Phoenix Suns,"8,7",PHX
Keldon,Johnson,Ala,San Antonio Spurs,"8,6",SAS
Tre,Jones,Guardia,Chicago Bulls,"8,6",CHI
Derik,Queen,Centro,New Orleans Pelicans,"8,6",NOP
Collin,Sexton,Guardia,Charlotte Hornets,"8,5",CHA
Jaime,Jaquez Jr,Ala,Miami Heat,"8,5",MIA
Kyshawn,George,Guardia,Washington Wizards,"8,5",WAS
Daniel,Gafford,Centro,Dallas Mavericks,"8,4",DAL
Brandon,Miller,Ala,Charlotte Hornets,"8,4",CHA
Ryan,Kalkbrenner,Centro,Charlotte Hornets,"8,4",CHA
Andre,Drummond,Centro,Philadelphia 76ers,"8,3",PHI
De'Andre,Hunter,Ala,Cleveland Cavaliers,"8,3",CLE
Ayo,Dosunmu,Guardia,Chicago Bulls,"8,3",CHI
Christian,Braun,Guardia,Denver Nuggets,"8,3",DEN
